
2024/05/21 (15:28:13) | ===> btop++ v.1.3.2
2024/05/21 (15:28:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (15:29:29) | ===> btop++ v.1.3.2
2024/05/21 (15:29:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (15:49:41) | ===> btop++ v.1.3.2
2024/05/21 (15:49:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:34:32) | ===> btop++ v.1.3.2
2024/05/21 (16:34:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:34:43) | ===> btop++ v.1.3.2
2024/05/21 (16:34:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:36:11) | ===> btop++ v.1.3.2
2024/05/21 (16:36:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (16:48:07) | ===> btop++ v.1.3.2
2024/05/21 (16:48:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (19:13:32) | ===> btop++ v.1.3.2
2024/05/21 (19:13:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (19:22:52) | ===> btop++ v.1.3.2
2024/05/21 (19:22:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (22:54:30) | ===> btop++ v.1.3.2
2024/05/21 (22:54:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/21 (22:54:48) | ===> btop++ v.1.3.2
2024/05/21 (22:54:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/22 (18:35:25) | ===> btop++ v.1.3.2
2024/05/22 (18:35:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (17:02:42) | ===> btop++ v.1.3.2
2024/05/25 (17:02:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/25 (18:14:38) | ===> btop++ v.1.3.2
2024/05/25 (18:14:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/26 (23:15:36) | ===> btop++ v.1.3.2
2024/05/26 (23:15:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/29 (21:05:06) | ===> btop++ v.1.3.2
2024/05/29 (21:05:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (19:26:50) | ===> btop++ v.1.3.2
2024/05/30 (19:26:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (19:28:33) | ===> btop++ v.1.3.2
2024/05/30 (19:28:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (19:37:26) | ===> btop++ v.1.3.2
2024/05/30 (19:37:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (19:38:28) | ===> btop++ v.1.3.2
2024/05/30 (19:38:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (19:39:47) | ===> btop++ v.1.3.2
2024/05/30 (19:39:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (19:40:52) | ===> btop++ v.1.3.2
2024/05/30 (19:40:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/30 (21:35:50) | ===> btop++ v.1.3.2
2024/05/30 (21:35:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (15:05:41) | ===> btop++ v.1.3.2
2024/06/01 (15:05:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/01 (15:09:17) | ===> btop++ v.1.3.2
2024/06/01 (15:09:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
